,exp_type,experiment,frac_gene,gene,trial,growth_rate_hr
185,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dhaL,1.0,0.967182112409226
186,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dhaM,1.0,0.967182112409226
187,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,diaA,1.0,0.967182112409226
188,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dicA,1.0,0.967182112409226
189,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dksA,1.0,0.967182112409226
190,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dld,1.0,0.967182112409226
191,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dnaA,1.0,0.967182112409226
192,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dnaJ,1.0,0.967182112409226
193,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dnaK,1.0,0.967182112409226
194,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dnaN,1.0,0.967182112409226
195,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dnaQ,1.0,0.967182112409226
196,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dnaX,1.0,0.967182112409226
197,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dppA,1.0,0.967182112409226
198,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dppB,1.0,0.967182112409226
199,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dppC,1.0,0.967182112409226
200,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dppD,1.0,0.967182112409226
201,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dppF,1.0,0.967182112409226
202,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dps,1.0,0.967182112409226
203,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dsbA,1.0,0.967182112409226
204,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dsbC,1.0,0.967182112409226
205,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dsbG,1.0,0.967182112409226
206,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dtd,1.0,0.967182112409226
207,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dusA,1.0,0.967182112409226
208,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dut,1.0,0.967182112409226
209,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,dxs,1.0,0.967182112409226
210,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,ecnB,1.0,0.967182112409226
211,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,eda,1.0,0.967182112409226
212,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,efp,1.0,0.967182112409226
213,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,elaB,1.0,0.967182112409226
214,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,elbB,1.0,0.967182112409226
215,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,emrA,1.0,0.967182112409226
216,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,emtA,1.0,0.967182112409226
217,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,engA,1.0,0.967182112409226
218,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,engB,1.0,0.967182112409226
219,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,engD,1.0,0.967182112409226
220,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,eno,1.0,0.967182112409226
221,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,entA,1.0,0.967182112409226
222,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,entB,1.0,0.967182112409226
223,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,entC,1.0,0.967182112409226
224,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,entE,1.0,0.967182112409226
225,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,epd,1.0,0.967182112409226
226,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,era,1.0,0.967182112409226
227,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,erpA,1.0,0.967182112409226
228,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,exbB,1.0,0.967182112409226
229,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fabA,1.0,0.967182112409226
230,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fabB,1.0,0.967182112409226
231,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fabD,1.0,0.967182112409226
232,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fabF,1.0,0.967182112409226
233,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fabG,1.0,0.967182112409226
234,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fabH,1.0,0.967182112409226
235,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fabI,1.0,0.967182112409226
236,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fabR,1.0,0.967182112409226
237,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fabZ,1.0,0.967182112409226
238,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fadA,1.0,0.967182112409226
239,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fadB,1.0,0.967182112409226
240,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fadD,1.0,0.967182112409226
241,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fadE,1.0,0.967182112409226
242,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fadL,1.0,0.967182112409226
243,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fadR,1.0,0.967182112409226
244,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fbaA,1.0,0.967182112409226
245,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fbaB,1.0,0.967182112409226
246,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fbp,1.0,0.967182112409226
247,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fdx,1.0,0.967182112409226
248,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fepA,1.0,0.967182112409226
249,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,ffh,1.0,0.967182112409226
250,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fhuA,1.0,0.967182112409226
251,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fis,1.0,0.967182112409226
252,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fiu,1.0,0.967182112409226
253,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fklB,1.0,0.967182112409226
254,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fkpA,1.0,0.967182112409226
255,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fkpB,1.0,0.967182112409226
256,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fldA,1.0,0.967182112409226
257,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fldB,1.0,0.967182112409226
258,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,flgD,1.0,0.967182112409226
259,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,flgE,1.0,0.967182112409226
260,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,flgG,1.0,0.967182112409226
261,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,flgH,1.0,0.967182112409226
262,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,flgI,1.0,0.967182112409226
263,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,flgK,1.0,0.967182112409226
264,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,flgL,1.0,0.967182112409226
265,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,flgM,1.0,0.967182112409226
266,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,flgN,1.0,0.967182112409226
267,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,flhA,1.0,0.967182112409226
268,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fliA,1.0,0.967182112409226
269,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fliC,1.0,0.967182112409226
270,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fliD,1.0,0.967182112409226
271,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fliF,1.0,0.967182112409226
272,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fliG,1.0,0.967182112409226
273,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fliH,1.0,0.967182112409226
274,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fliI,1.0,0.967182112409226
275,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fliL,1.0,0.967182112409226
276,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fliM,1.0,0.967182112409226
277,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fliN,1.0,0.967182112409226
278,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fliS,1.0,0.967182112409226
279,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fliY,1.0,0.967182112409226
280,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,fliZ,1.0,0.967182112409226
281,A-lim,NCM3722_Glc_IPTG0,0.0007818608287724790,flu,1.0,0.967182112409226
